date,city,pm25_rome,no2_rome
2022-01-01,Rome,,43.5
2022-01-02,Rome,,51.85
2022-01-03,Rome,,32.15
2022-01-04,Rome,,19.9
2022-01-05,Rome,,29.35
2022-01-06,Rome,,40.6
2022-01-07,Rome,,34.4
2022-01-08,Rome,,37.2
2022-01-09,Rome,,25.450000000000003
2022-01-10,Rome,,22.05
2022-01-11,Rome,,29.0
2022-01-12,Rome,,45.7
2022-01-13,Rome,,64.35
2022-01-14,Rome,,66.85
2022-01-15,Rome,,52.35
2022-01-16,Rome,,61.75
2022-01-17,Rome,,65.7
2022-01-18,Rome,,63.0
2022-01-19,Rome,,49.5
2022-01-20,Rome,,43.650000000000006
2022-01-21,Rome,,50.349999999999994
2022-01-22,Rome,,57.650000000000006
2022-01-23,Rome,,48.65
2022-01-24,Rome,,63.15
2022-01-25,Rome,,66.5
2022-01-27,Rome,,55.5
2022-01-28,Rome,,54.8
2022-01-29,Rome,,75.4
2022-01-30,Rome,,60.95
2022-01-31,Rome,,45.7
2022-02-01,Rome,,68.25
2022-02-02,Rome,,65.4
2022-02-03,Rome,,56.45
2022-02-04,Rome,,66.1
2022-02-05,Rome,,43.2
2022-02-06,Rome,,31.45
2022-02-07,Rome,,48.7
2022-02-08,Rome,,67.7
2022-02-09,Rome,,69.45
2022-02-10,Rome,,61.75
2022-02-11,Rome,,50.599999999999994
2022-02-12,Rome,,33.75
2022-02-13,Rome,,37.6
2022-02-14,Rome,,28.799999999999997
2022-02-15,Rome,,49.7
2022-02-16,Rome,,47.0
2022-02-17,Rome,,46.3
2022-02-18,Rome,,36.0
2022-02-19,Rome,,32.4
2022-02-20,Rome,,19.85
2022-02-21,Rome,,31.0
2022-02-22,Rome,,56.15
2022-02-23,Rome,,49.55
2022-02-24,Rome,,39.099999999999994
2022-02-25,Rome,,38.0
2022-02-26,Rome,,18.0
2022-02-27,Rome,,30.1
2022-02-28,Rome,,26.200000000000003
2022-03-01,Rome,,47.55
2022-03-02,Rome,,57.8
2022-03-03,Rome,,51.75
2022-03-04,Rome,,28.75
2022-03-05,Rome,,24.3
2022-03-06,Rome,,32.85
2022-03-07,Rome,,28.05
2022-03-08,Rome,,36.1
2022-03-09,Rome,,46.8
2022-03-10,Rome,,39.75
2022-03-11,Rome,,33.25
2022-03-12,Rome,,23.7
2022-03-13,Rome,,51.15
2022-03-14,Rome,,40.35
2022-03-15,Rome,,40.0
2022-03-16,Rome,,52.15
2022-03-17,Rome,,49.05
2022-03-18,Rome,,36.45
2022-03-19,Rome,,18.75
2022-03-20,Rome,,29.8
2022-03-21,Rome,,29.8
2022-03-24,Rome,,58.9
2022-03-25,Rome,,59.2
2022-03-26,Rome,,52.2
2022-03-27,Rome,,38.0
2022-03-28,Rome,,51.5
2022-03-29,Rome,,57.3
2022-03-30,Rome,,33.0
2022-03-31,Rome,,26.4
2022-04-01,Rome,,19.0
2022-04-02,Rome,,26.7
2022-04-03,Rome,,43.6
2022-04-04,Rome,,32.9
2022-04-05,Rome,,49.1
2022-04-06,Rome,,29.0
2022-04-07,Rome,,32.0
2022-04-08,Rome,,34.95
2022-04-09,Rome,,25.0
2022-04-10,Rome,,29.95
2022-04-11,Rome,,33.95
2022-04-12,Rome,,45.45
2022-04-13,Rome,,47.900000000000006
2022-04-14,Rome,,43.7
2022-04-15,Rome,,24.7
2022-04-16,Rome,,13.7
2022-04-17,Rome,,14.75
2022-04-18,Rome,,22.0
2022-04-19,Rome,,27.75
2022-04-20,Rome,,34.900000000000006
2022-04-21,Rome,,24.4
2022-04-22,Rome,,23.05
2022-04-23,Rome,,13.75
2022-04-24,Rome,,15.45
2022-04-25,Rome,,27.700000000000003
2022-04-26,Rome,,53.0
2022-04-27,Rome,,23.950000000000003
2022-04-28,Rome,,28.95
2022-04-29,Rome,,30.95
2022-04-30,Rome,,34.4
2022-05-01,Rome,,36.0
2022-05-02,Rome,,31.950000000000003
2022-05-03,Rome,,36.05
2022-05-04,Rome,,53.15
2022-05-05,Rome,,48.3
2022-05-06,Rome,,49.0
2022-05-07,Rome,,45.45
2022-05-08,Rome,,42.3
2022-05-09,Rome,,35.349999999999994
2022-05-10,Rome,,29.5
2022-05-11,Rome,,31.85
2022-05-12,Rome,,37.5
2022-05-13,Rome,,33.3
2022-05-14,Rome,,19.46
2022-05-15,Rome,,28.4
2022-05-16,Rome,,33.15
2022-05-17,Rome,,39.2
2022-05-18,Rome,,25.75
2022-05-19,Rome,,26.25
2022-05-20,Rome,,23.1
2022-05-21,Rome,,18.9
2022-05-22,Rome,,28.0
2022-05-23,Rome,,28.450000000000003
2022-05-24,Rome,,41.8
2022-05-25,Rome,,49.75
2022-05-26,Rome,,81.0
2022-05-27,Rome,,32.2
2022-05-28,Rome,,18.55
2022-05-29,Rome,,26.549999999999997
2022-05-30,Rome,,27.35
2022-05-31,Rome,,23.349999999999998
2022-06-01,Rome,,27.05
2022-06-02,Rome,,42.0
2022-06-03,Rome,,41.25
2022-06-04,Rome,,35.8
2022-06-05,Rome,,30.0
2022-06-06,Rome,,24.5
2022-06-07,Rome,,31.4
2022-06-08,Rome,,34.2
2022-06-09,Rome,,26.5
2022-06-10,Rome,,28.15
2022-06-11,Rome,,25.450000000000003
2022-06-12,Rome,,33.05
2022-06-13,Rome,,29.5
2022-06-14,Rome,,32.75
2022-06-15,Rome,,25.799999999999997
2022-06-16,Rome,,33.05
2022-06-17,Rome,,28.75
2022-06-18,Rome,,25.3
2022-06-19,Rome,,30.35
2022-06-20,Rome,,29.6
2022-06-21,Rome,,30.85
2022-06-22,Rome,,22.95
2022-06-23,Rome,,20.75
2022-06-24,Rome,,16.4
2022-06-25,Rome,,42.0
2022-06-26,Rome,,36.1
2022-06-27,Rome,,27.6
2022-06-28,Rome,,19.35
2022-06-29,Rome,,28.9
2022-06-30,Rome,,30.45
2022-07-01,Rome,,29.6
2022-07-02,Rome,,24.95
2022-07-03,Rome,,29.5
2022-07-04,Rome,,29.0
2022-07-05,Rome,,28.6
2022-07-06,Rome,,26.45
2022-07-07,Rome,,25.15
2022-07-08,Rome,,20.0
2022-07-09,Rome,,11.575
2022-07-10,Rome,,18.1
2022-07-11,Rome,,16.5
2022-07-12,Rome,,16.61
2022-07-13,Rome,,19.95
2022-07-14,Rome,,19.9
2022-07-15,Rome,,18.9
2022-07-16,Rome,,18.5
2022-07-17,Rome,,30.299999999999997
2022-07-18,Rome,,24.450000000000003
2022-07-19,Rome,,23.4
2022-07-20,Rome,,21.7
2022-07-21,Rome,,28.4
2022-07-22,Rome,,16.200000000000003
2022-07-23,Rome,,12.77
2022-07-24,Rome,,21.9
2022-07-26,Rome,,20.8
2022-07-27,Rome,,20.4
2022-07-28,Rome,,18.55
2022-07-29,Rome,,17.4
2022-07-30,Rome,,14.3
2022-07-31,Rome,,19.6
2022-08-01,Rome,,22.15
2022-08-02,Rome,,22.4
2022-08-03,Rome,,20.65
2022-08-04,Rome,,19.1
2022-08-05,Rome,,19.75
2022-08-06,Rome,,18.15
2022-08-07,Rome,,21.75
2022-08-08,Rome,,28.5
2022-08-09,Rome,,23.9
2022-08-10,Rome,,24.0
2022-08-11,Rome,,23.6
2022-08-12,Rome,,18.7
2022-08-13,Rome,,15.4
2022-08-14,Rome,,12.65
2022-08-15,Rome,,13.4
2022-08-16,Rome,,18.6
2022-08-17,Rome,,18.45
2022-08-18,Rome,,13.8
2022-08-19,Rome,,12.600000000000001
2022-08-20,Rome,,15.149999999999999
2022-08-21,Rome,,17.6
2022-08-22,Rome,,18.25
2022-08-23,Rome,,15.799999999999999
2022-08-25,Rome,,17.0
2022-08-26,Rome,,20.6
2022-08-27,Rome,,16.45
2022-08-28,Rome,,17.2
2022-08-29,Rome,,20.950000000000003
2022-08-30,Rome,,21.25
2022-08-31,Rome,,25.6
2022-09-01,Rome,,25.9
2022-09-02,Rome,,33.05
2022-09-03,Rome,,20.450000000000003
2022-09-04,Rome,,27.85
2022-09-05,Rome,,30.450000000000003
2022-09-06,Rome,,26.5
2022-09-07,Rome,,28.75
2022-09-08,Rome,,28.0
2022-09-09,Rome,,25.9
2022-09-10,Rome,,19.4
2022-09-11,Rome,,27.15
2022-09-12,Rome,,31.75
2022-09-13,Rome,,30.7
2022-09-14,Rome,,23.75
2022-09-15,Rome,,17.1
2022-09-16,Rome,,14.25
2022-09-17,Rome,,26.55
2022-09-18,Rome,,29.1
2022-09-19,Rome,,33.85
2022-09-20,Rome,,27.4
2022-09-21,Rome,,26.7
2022-09-22,Rome,,35.0
2022-09-23,Rome,,72.0
2022-09-24,Rome,,29.85
2022-09-25,Rome,,42.349999999999994
2022-09-26,Rome,,18.0
2022-09-27,Rome,5.5,23.15
2022-09-28,Rome,9.5,24.25
2022-09-29,Rome,10.0,34.0
2022-09-30,Rome,8.5,24.049999999999997
2022-10-01,Rome,8.5,23.85
2022-10-02,Rome,9.0,30.450000000000003
2022-10-03,Rome,10.5,31.45
2022-10-04,Rome,12.5,44.5
2022-10-05,Rome,13.5,48.849999999999994
2022-10-06,Rome,14.5,43.05
2022-10-07,Rome,11.5,35.099999999999994
2022-10-08,Rome,10.0,30.15
2022-10-09,Rome,12.5,37.7
2022-10-10,Rome,13.0,39.05
2022-10-11,Rome,14.0,34.65
2022-10-12,Rome,14.5,37.85
2022-10-13,Rome,13.0,40.35
2022-10-14,Rome,12.0,41.099999999999994
2022-10-15,Rome,12.0,29.049999999999997
2022-10-16,Rome,12.5,40.05
2022-10-17,Rome,10.5,37.8
2022-10-18,Rome,15.0,38.7
2022-10-19,Rome,16.5,42.0
2022-10-20,Rome,15.0,40.400000000000006
2022-10-21,Rome,14.5,30.299999999999997
2022-10-22,Rome,15.5,27.7
2022-10-23,Rome,,32.0
2022-10-24,Rome,20.5,35.849999999999994
2022-10-25,Rome,22.0,43.35
2022-10-26,Rome,21.0,54.45
2022-10-27,Rome,16.5,47.45
2022-10-28,Rome,12.5,49.05
2022-10-29,Rome,12.5,40.85
2022-10-30,Rome,15.5,48.65
2022-10-31,Rome,19.0,43.95
2022-11-01,Rome,16.5,52.0
2022-11-02,Rome,5.0,50.400000000000006
2022-11-03,Rome,3.0,29.8
2022-11-04,Rome,5.0,25.2
2022-11-05,Rome,9.0,21.4
2022-11-06,Rome,16.0,44.45
2022-11-07,Rome,24.0,53.25
2022-11-08,Rome,20.0,54.25
2022-11-09,Rome,16.5,54.3
2022-11-10,Rome,12.5,47.4
2022-11-11,Rome,14.0,42.05
2022-11-12,Rome,9.5,31.200000000000003
2022-11-13,Rome,13.0,35.95
2022-11-14,Rome,8.0,38.85
2022-11-15,Rome,12.0,36.9
2022-11-16,Rome,5.0,37.8
2022-11-17,Rome,9.5,32.1
2022-11-18,Rome,4.5,35.75
2022-11-19,Rome,5.5,22.049999999999997
2022-11-20,Rome,3.5,32.6
2022-11-21,Rome,12.5,21.95
2022-11-22,Rome,,27.5
2022-11-23,Rome,19.5,47.15
2022-11-24,Rome,8.0,46.75
2022-11-25,Rome,7.5,35.400000000000006
2022-11-26,Rome,15.5,27.4
2022-11-27,Rome,19.5,45.65
2022-11-28,Rome,12.5,46.75
2022-11-29,Rome,18.0,37.75
2022-11-30,Rome,28.0,46.7
2022-12-01,Rome,7.5,50.05
2022-12-02,Rome,9.0,39.150000000000006
2022-12-03,Rome,22.0,40.25
2022-12-04,Rome,22.0,56.15
2022-12-05,Rome,23.0,59.6
2022-12-06,Rome,13.0,53.0
2022-12-07,Rome,16.0,45.7
2022-12-08,Rome,16.0,31.25
2022-12-09,Rome,9.5,49.95
2022-12-10,Rome,23.5,33.0
2022-12-11,Rome,13.5,55.3
2022-12-12,Rome,17.0,47.349999999999994
2022-12-13,Rome,17.5,47.4
2022-12-14,Rome,7.5,40.5
2022-12-15,Rome,13.0,39.0
2022-12-16,Rome,19.5,52.900000000000006
2022-12-17,Rome,18.5,50.05
2022-12-18,Rome,23.0,49.8
2022-12-19,Rome,30.5,57.400000000000006
2022-12-20,Rome,22.5,56.2
2022-12-21,Rome,23.5,57.75
2022-12-22,Rome,,60.5
2022-12-23,Rome,29.5,44.0
2022-12-24,Rome,24.0,36.1
2022-12-25,Rome,25.0,37.7
2022-12-26,Rome,23.5,63.650000000000006
2022-12-27,Rome,20.5,54.4
2022-12-28,Rome,20.0,53.4
2022-12-29,Rome,29.0,48.85
2022-12-30,Rome,31.5,47.45
