date,city,pm25,no2
2023-12-31,Rome,36.5,39.05
2024-01-01,Rome,14.5,39.650000000000006
2024-01-02,Rome,8.5,31.400000000000002
2024-01-03,Rome,14.5,48.75
2024-01-04,Rome,15.0,39.650000000000006
2024-01-05,Rome,9.0,32.8
2024-01-06,Rome,13.5,31.0
2024-01-07,Rome,9.5,30.799999999999997
2024-01-08,Rome,12.0,38.15
2024-01-09,Rome,15.0,35.650000000000006
2024-01-10,Rome,15.0,42.8
2024-01-11,Rome,11.5,41.7
2024-01-12,Rome,14.0,49.15
2024-01-13,Rome,25.5,42.95
2024-01-14,Rome,21.0,60.5
2024-01-15,Rome,18.5,47.6
2024-01-16,Rome,12.0,34.1
2024-01-17,Rome,12.0,27.049999999999997
2024-01-18,Rome,9.5,35.65
2024-01-19,Rome,3.5,23.85
2024-01-20,Rome,6.5,38.0
2024-01-21,Rome,20.0,55.3
2024-01-22,Rome,22.0,56.6
2024-01-23,Rome,22.5,55.45
2024-01-24,Rome,26.5,56.3
2024-01-25,Rome,29.0,52.55
2024-01-26,Rome,28.0,48.9
2024-01-27,Rome,28.5,46.15
2024-01-28,Rome,22.5,59.05
2024-01-29,Rome,31.5,60.9
2024-01-30,Rome,33.0,58.9
2024-01-31,Rome,36.5,59.25
2024-02-01,Rome,32.0,65.55
2024-02-02,Rome,28.0,60.0
2024-02-03,Rome,27.0,51.1
2024-02-04,Rome,26.5,58.5
2024-02-05,Rome,15.5,49.2
2024-02-06,Rome,18.5,57.65
2024-02-07,Rome,14.5,42.25
2024-02-08,Rome,12.0,35.75
2024-02-09,Rome,33.5,32.5
2024-02-10,Rome,9.0,35.099999999999994
2024-02-11,Rome,14.0,46.75
2024-02-12,Rome,10.0,39.6
2024-02-13,Rome,11.0,49.9
2024-02-14,Rome,18.5,57.4
2024-02-15,Rome,31.0,66.85
2024-02-16,Rome,33.0,58.6
2024-02-17,Rome,34.0,43.95
2024-02-18,Rome,17.0,51.349999999999994
2024-02-19,Rome,23.5,65.0
2024-02-20,Rome,10.5,56.150000000000006
2024-02-21,Rome,17.0,50.05
2024-02-22,Rome,9.5,34.150000000000006
2024-02-23,Rome,6.5,43.25
2024-02-24,Rome,7.5,38.9
2024-02-25,Rome,11.5,42.5
2024-02-26,Rome,10.0,40.05
2024-02-27,Rome,13.5,50.5
2024-02-28,Rome,7.5,45.400000000000006
2024-02-29,Rome,12.0,56.150000000000006
2024-03-01,Rome,8.5,42.75
2024-03-02,Rome,7.5,36.65
2024-03-03,Rome,4.0,43.55
2024-03-04,Rome,8.5,45.15
2024-03-05,Rome,12.5,47.1
2024-03-06,Rome,12.0,51.0
2024-03-07,Rome,14.5,53.55
2024-03-08,Rome,8.0,50.6
2024-03-09,Rome,9.0,41.85
2024-03-10,Rome,6.0,49.65
2024-03-11,Rome,9.0,41.25
2024-03-12,Rome,11.5,51.5
2024-03-13,Rome,14.5,45.65
2024-03-14,Rome,12.5,46.95
2024-03-15,Rome,15.5,53.849999999999994
2024-03-16,Rome,16.0,45.25
2024-03-17,Rome,10.5,51.1
2024-03-18,Rome,11.0,44.15
2024-03-19,Rome,13.5,58.9
2024-03-20,Rome,12.5,53.15
2024-03-21,Rome,12.5,49.8
2024-03-22,Rome,12.0,50.05
2024-03-23,Rome,7.0,39.8
2024-03-24,Rome,10.5,48.349999999999994
2024-03-25,Rome,12.5,49.95
2024-03-26,Rome,10.0,24.2
2024-03-27,Rome,9.0,17.1
2024-03-28,Rome,19.0,27.65
2024-03-29,Rome,21.5,27.55
2024-03-30,Rome,24.0,34.685
2024-03-31,Rome,28.5,51.4
2024-04-01,Rome,6.0,30.1
2024-04-02,Rome,9.0,29.549999999999997
2024-04-03,Rome,8.5,31.6
2024-04-04,Rome,9.5,33.65
