Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT112A","Regione Lazio","IT1836A","CIPRO","SPO.IT1836A_6001_BETA_2006-12-17_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-3daysAbove50","3 consecutive days in exceedance of 50","2024","0.000","count","95.08","2","Background","Urban","12.4476","41.9064","24.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:57:41","",""
"Italy","NET.IT112A","Regione Lazio","IT1906A","ARENULA","SPO.IT1906A_6001_BETA_2008-02-03_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-3daysAbove50","3 consecutive days in exceedance of 50","2024","0.000","count","93.99","2","Background","Urban","12.4754","41.8940","17.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:57:41","",""
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_6001_BETA_2005-07-06_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","0.000","count","89.34","2","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:58:42","",""
"Italy","NET.IT112A","Regione Lazio","IT1836A","CIPRO","SPO.IT1836A_6001_BETA_2006-12-17_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","35.000","ug/m3","95.08","2","Background","Urban","12.4476","41.9064","24.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 22:00:22","",""
"Italy","NET.IT112A","Regione Lazio","IT0825A","C.SO FRANCIA","SPO.IT0825A_6001_BETA_2006-07-26_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","13.173","ug/m3","93.17","2","Traffic","Urban","12.4696","41.9474","35.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:57:36","",""
"Italy","NET.IT112A","Regione Lazio","IT0825A","C.SO FRANCIA","SPO.IT0825A_6001_BETA_2006-07-26_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","34.000","ug/m3","93.17","2","Traffic","Urban","12.4696","41.9474","35.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 22:00:22","",""
"Italy","NET.IT112A","Regione Lazio","IT1836A","CIPRO","SPO.IT1836A_6001_BETA_2006-12-17_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","12.278","ug/m3","95.71","2","Background","Urban","12.4476","41.9064","24.0","Roma                                                                            ","IT001C1                                           ","2808293","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","09/08/2025 22:00:26","",""
"Italy","NET.IT112A","Regione Lazio","IT1906A","ARENULA","SPO.IT1906A_6001_BETA_2008-02-03_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2024","13.326","ug/m3","93.99","2","Background","Urban","12.4754","41.8940","17.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:57:36","",""
"Italy","NET.IT112A","Regione Lazio","IT2012A","MALAGROTTA","SPO.IT2012A_6001_BETA_2010-06-06_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-max","1 year day max","2024","51.000","ug/m3","95.08","2","Background","Suburban","12.3456","41.8748","62.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:58:03","",""
"Italy","NET.IT112A","Regione Lazio","IT2012A","MALAGROTTA","SPO.IT2012A_6001_BETA_2010-06-06_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-min","1 year day min","2024","2.000","ug/m3","95.08","2","Background","Suburban","12.3456","41.8748","62.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:58:18","",""
"Italy","NET.IT112A","Regione Lazio","IT2012A","MALAGROTTA","SPO.IT2012A_6001_BETA_2010-06-06_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","12.045","ug/m3","97.54","2","Background","Suburban","12.3456","41.8748","62.0","Roma                                                                            ","IT001C1                                           ","2808293","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","09/08/2025 22:00:26","",""
